CCAA,Año,Indice_IPC,Precio_Vivienda_IPV,Renta_Media,Pob_Adulta,Pob_Joven,Pob_Senior,Ratio_Esfuerzo,Renta_Ajustada_IPC,Pct_Pob_Joven
Baleares,2022,25.862,157.034,18576,436296.0,550100.0,189936.0,8.453596037898363,18831.025043856254,46.76400880023667
Canarias,2008,20.722,139.782,13418,689569.0,1125223.0,260928.0,10.417498882098675,16976.18049466877,54.208804655733914
Canarias,2009,18.474,134.44,13612,712308.0,1120689.0,270679.0,9.876579488686453,19317.2307254007,53.272889931719526
Canarias,2010,19.53,131.108,13905,730861.0,1105785.0,281528.0,9.42883854728515,18666.05821004123,52.20463474672052
Canarias,2011,20.588,123.61,13127,745195.0,1090416.0,290745.0,9.416469871257714,16716.108893274566,51.28097082520519
Canarias,2012,20.863,107.173,12477,753815.0,1065725.0,298355.0,8.589644946701931,15678.961112218303,50.320011143139766
Canarias,2013,20.185,97.953,12688,764669.0,1050118.0,303373.0,7.720129255989912,16479.661322242937,49.57689692941043
Canarias,2014,19.748,96.711,12505,768034.0,1032802.0,303382.0,7.733786485405838,16601.38966770785,49.08246198825407
Canarias,2015,19.588,100.0,12932,776132.0,1015329.0,308216.0,7.732755954222085,17308.501359586422,48.35643768065279
Canarias,2016,19.752,103.344,12993,786482.0,1000882.0,313873.0,7.953821288386054,17245.75561169022,47.63298951998276
Canarias,2017,20.734,107.888,13161,797780.0,989832.0,319809.0,8.197553377402933,16641.392383727714,46.9688780741959
Canarias,2018,21.098,113.276,13546,812690.0,985853.0,328498.0,8.362320980363206,16832.694802700178,46.348565918569506
Canarias,2019,20.572,117.587,14247,829485.0,985723.0,337493.0,8.253456868112584,18156.44316751435,45.790056306008125
Canarias,2020,20.755,118.96,14990,844475.0,983060.0,347696.0,7.935957304869913,18934.888891706498,45.193361072915934
Canarias,2021,22.342,125.792,15294,849935.0,964580.0,357701.0,8.2249248071139,17946.629798020247,44.40534458819933
Canarias,2022,25.69,137.24,15901,856719.0,951128.0,369084.0,8.630903716747376,16227.222806334632,43.69123320858585
Cantabria,2008,19.623,153.98,16727,201934.0,273936.0,106143.0,9.205476176242003,22347.889689059823,47.066989912596455
Cantabria,2009,17.984,143.506,18108,206586.0,275512.0,106996.0,7.925005522421029,26397.819675969273,46.768766954000554
Cantabria,2010,19.131,134.886,16456,210370.0,273475.0,108258.0,8.19676713660671,22551.24238697732,46.18706542611674
Cantabria,2011,20.194,122.397,15447,213526.0,269676.0,109759.0,7.923674499902893,20054.21471724274,45.479550931680166
Cantabria,2012,20.57,105.107,15211,217041.0,265297.0,111355.0,6.909933600683716,19386.85403884041,44.68588984542516
Cantabria,2013,20.453,95.561,14426,219087.0,259724.0,112898.0,6.62422015804797,18491.52697712599,43.893873508768664
