Renta;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Mediana;Total Nacional;11 Extremadura;2008;10.470
Mediana;Total Nacional;12 Galicia;2023;17.719
Mediana;Total Nacional;12 Galicia;2022;16.675
Mediana;Total Nacional;12 Galicia;2021;15.409
Mediana;Total Nacional;12 Galicia;2020;15.411
Mediana;Total Nacional;12 Galicia;2019;14.967
Mediana;Total Nacional;12 Galicia;2018;15.053
Mediana;Total Nacional;12 Galicia;2017;14.756
Mediana;Total Nacional;12 Galicia;2016;13.250
Mediana;Total Nacional;12 Galicia;2015;13.459
Mediana;Total Nacional;12 Galicia;2014;13.330
Mediana;Total Nacional;12 Galicia;2013;13.105
Mediana;Total Nacional;12 Galicia;2012;13.515
Mediana;Total Nacional;12 Galicia;2011;13.791
Mediana;Total Nacional;12 Galicia;2010;13.935
Mediana;Total Nacional;12 Galicia;2009;13.607
Mediana;Total Nacional;12 Galicia;2008;12.505
Mediana;Total Nacional;13 Madrid, Comunidad de;2023;21.226
Mediana;Total Nacional;13 Madrid, Comunidad de;2022;20.284
Mediana;Total Nacional;13 Madrid, Comunidad de;2021;19.206
Mediana;Total Nacional;13 Madrid, Comunidad de;2020;18.154
Mediana;Total Nacional;13 Madrid, Comunidad de;2019;17.681
Mediana;Total Nacional;13 Madrid, Comunidad de;2018;16.892
Mediana;Total Nacional;13 Madrid, Comunidad de;2017;17.294
Mediana;Total Nacional;13 Madrid, Comunidad de;2016;16.464
Mediana;Total Nacional;13 Madrid, Comunidad de;2015;16.030
Mediana;Total Nacional;13 Madrid, Comunidad de;2014;16.498
Mediana;Total Nacional;13 Madrid, Comunidad de;2013;16.856
Mediana;Total Nacional;13 Madrid, Comunidad de;2012;17.132
Mediana;Total Nacional;13 Madrid, Comunidad de;2011;17.114
Mediana;Total Nacional;13 Madrid, Comunidad de;2010;18.064
Mediana;Total Nacional;13 Madrid, Comunidad de;2009;18.349
Mediana;Total Nacional;13 Madrid, Comunidad de;2008;16.612
Mediana;Total Nacional;14 Murcia, Región de;2023;15.369
Mediana;Total Nacional;14 Murcia, Región de;2022;15.000
Mediana;Total Nacional;14 Murcia, Región de;2021;13.994
Mediana;Total Nacional;14 Murcia, Región de;2020;13.046
Mediana;Total Nacional;14 Murcia, Región de;2019;12.281
Mediana;Total Nacional;14 Murcia, Región de;2018;12.630
Mediana;Total Nacional;14 Murcia, Región de;2017;11.999
Mediana;Total Nacional;14 Murcia, Región de;2016;11.270
Mediana;Total Nacional;14 Murcia, Región de;2015;10.332
Mediana;Total Nacional;14 Murcia, Región de;2014;10.096
Mediana;Total Nacional;14 Murcia, Región de;2013;11.148
Mediana;Total Nacional;14 Murcia, Región de;2012;11.643
Mediana;Total Nacional;14 Murcia, Región de;2011;11.283
Mediana;Total Nacional;14 Murcia, Región de;2010;12.243
Mediana;Total Nacional;14 Murcia, Región de;2009;12.489
Mediana;Total Nacional;14 Murcia, Región de;2008;12.738
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2023;22.471
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2022;21.212
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2021;20.955
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2020;21.174
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2019;19.837
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2018;19.261
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2017;19.040
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2016;18.348
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2015;18.710
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2014;18.121
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2013;18.057
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2012;18.641
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2011;18.541
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2010;19.925
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2009;18.922
Mediana;Total Nacional;15 Navarra, Comunidad Foral de;2008;17.977
Mediana;Total Nacional;16 País Vasco;2023;23.264
Mediana;Total Nacional;16 País Vasco;2022;21.638
Mediana;Total Nacional;16 País Vasco;2021;21.114
Mediana;Total Nacional;16 País Vasco;2020;21.701
Mediana;Total Nacional;16 País Vasco;2019;21.020
Mediana;Total Nacional;16 País Vasco;2018;19.586
Mediana;Total Nacional;16 País Vasco;2017;19.229
Mediana;Total Nacional;16 País Vasco;2016;19.275
Mediana;Total Nacional;16 País Vasco;2015;18.614
Mediana;Total Nacional;16 País Vasco;2014;19.469
Mediana;Total Nacional;16 País Vasco;2013;19.252
Mediana;Total Nacional;16 País Vasco;2012;18.683
Mediana;Total Nacional;16 País Vasco;2011;18.665
Mediana;Total Nacional;16 País Vasco;2010;19.730
Mediana;Total Nacional;16 País Vasco;2009;19.940
Mediana;Total Nacional;16 País Vasco;2008;18.852
Mediana;Total Nacional;17 Rioja, La;2023;18.839
Mediana;Total Nacional;17 Rioja, La;2022;18.414
Mediana;Total Nacional;17 Rioja, La;2021;17.420
Mediana;Total Nacional;17 Rioja, La;2020;17.589
Mediana;Total Nacional;17 Rioja, La;2019;16.577
Mediana;Total Nacional;17 Rioja, La;2018;15.410
Mediana;Total Nacional;17 Rioja, La;2017;15.792
Mediana;Total Nacional;17 Rioja, La;2016;15.346
Mediana;Total Nacional;17 Rioja, La;2015;14.507
Mediana;Total Nacional;17 Rioja, La;2014;14.698
Mediana;Total Nacional;17 Rioja, La;2013;14.344
Mediana;Total Nacional;17 Rioja, La;2012;14.572
Mediana;Total Nacional;17 Rioja, La;2011;14.505
Mediana;Total Nacional;17 Rioja, La;2010;14.793
Mediana;Total Nacional;17 Rioja, La;2009;14.132
Mediana;Total Nacional;17 Rioja, La;2008;14.161
Mediana;Total Nacional;18 Ceuta;2023;16.170
Mediana;Total Nacional;18 Ceuta;2022;14.750
Mediana;Total Nacional;18 Ceuta;2021;12.332
Mediana;Total Nacional;18 Ceuta;2020;12.455
Mediana;Total Nacional;18 Ceuta;2019;12.058
Mediana;Total Nacional;18 Ceuta;2018;10.339
Mediana;Total Nacional;18 Ceuta;2017;12.281
Mediana;Total Nacional;18 Ceuta;2016;12.358
Mediana;Total Nacional;18 Ceuta;2015;11.168
Mediana;Total Nacional;18 Ceuta;2014;9.492
Mediana;Total Nacional;18 Ceuta;2013;10.721
Mediana;Total Nacional;18 Ceuta;2012;12.779
Mediana;Total Nacional;18 Ceuta;2011;12.911
Mediana;Total Nacional;18 Ceuta;2010;13.251
Mediana;Total Nacional;18 Ceuta;2009;11.574
Mediana;Total Nacional;18 Ceuta;2008;11.041
Mediana;Total Nacional;19 Melilla;2023;16.638
Mediana;Total Nacional;19 Melilla;2022;16.253
Mediana;Total Nacional;19 Melilla;2021;15.604
Mediana;Total Nacional;19 Melilla;2020;14.922
Mediana;Total Nacional;19 Melilla;2019;17.063
Mediana;Total Nacional;19 Melilla;2018;16.840
Mediana;Total Nacional;19 Melilla;2017;14.843
Mediana;Total Nacional;19 Melilla;2016;16.999
Mediana;Total Nacional;19 Melilla;2015;12.929
Mediana;Total Nacional;19 Melilla;2014;13.422
Mediana;Total Nacional;19 Melilla;2013;13.288
Mediana;Total Nacional;19 Melilla;2012;14.847
Mediana;Total Nacional;19 Melilla;2011;14.320
Mediana;Total Nacional;19 Melilla;2010;17.198
Mediana;Total Nacional;19 Melilla;2009;18.634
Mediana;Total Nacional;19 Melilla;2008;17.877
